source,query_ordinal,query_id,exact_query,search_parameter,date_handling,language_handling,started_at_utc,completed_at_utc,records_written,source_reported_total,pages,status,raw_file_sha256
openalex,1,explicit_llm_four_concepts,"(""large language model"" OR ""small language model"" OR ""generative artificial intelligence"" OR ""generative AI"" OR GenAI OR ChatGPT OR ""GPT-4"" OR ""GPT-3.5"" OR ""GPT-4o"" OR ""OpenAI o1"" OR ""OpenAI o3"" OR ""retrieval augmented generation"") AND (simulation OR ""virtual patient"" OR ""simulated patient"" OR ""standardized patient"" OR ""standardised patient"" OR OSCE OR ""role play"" OR ""serious game"" OR debriefing OR ""virtual reality"" OR ""augmented reality"") AND (education OR training OR learning OR teaching OR learner OR student OR trainee OR assessment OR curriculum) AND (medical OR health OR healthcare OR clinical OR nursing OR pharmacy OR dental OR surgery OR surgical OR resident OR physician OR clinician OR paramedic OR physiotherapy)",title_and_abstract.search,Server-side inclusive from_publication_date/to_publication_date filter using 2020-01-01 through 2026-08-13.,Server-side language:en filter; language is still retained in every raw record.,2026-08-14T16:49:15.492Z,2026-08-14T16:49:45.488Z,1823,1817,19,complete,63c27106a66ae3cff5d12b91680f2c68b57940b0c123215c73a76f3a72ce02c5
openalex,2,named_models_four_concepts,"((Claude AND (Anthropic OR LLM OR ""language model"")) OR (Gemini AND (Google OR LLM OR ""language model"")) OR (Llama AND (Meta OR LLM OR ""language model"")) OR Mistral OR Mixtral OR DeepSeek OR Qwen OR ""Med-PaLM"" OR BioGPT OR MedGPT OR Meditron OR (Phi AND ""language model"") OR Vicuna OR Alpaca OR Grok OR ""Command R"") AND (simulation OR ""virtual patient"" OR ""simulated patient"" OR ""standardized patient"" OR ""standardised patient"" OR OSCE OR ""role play"" OR ""serious game"" OR debriefing OR ""virtual reality"" OR ""augmented reality"") AND (education OR training OR learning OR teaching OR learner OR student OR trainee OR assessment OR curriculum) AND (medical OR health OR healthcare OR clinical OR nursing OR pharmacy OR dental OR surgery OR surgical OR resident OR physician OR clinician OR paramedic OR physiotherapy)",title_and_abstract.search,Server-side inclusive from_publication_date/to_publication_date filter using 2020-01-01 through 2026-08-13.,Server-side language:en filter; language is still retained in every raw record.,2026-08-14T16:49:45.512Z,2026-08-14T16:49:48.838Z,201,201,3,complete,ef0fc1740c022de17fa7caf991dafb207dd829c0f2b44d4b50708abeeada5a94
openalex,3,broad_sensitivity_four_concepts,"(""conversational AI"" OR ""conversational agent"" OR ""AI chatbot"" OR ""AI-powered chatbot"" OR ""AI-powered virtual patient"" OR ""natural language processing"" OR ""transformer model"" OR ""intelligent tutoring system"") AND (simulation OR ""virtual patient"" OR ""simulated patient"" OR ""standardized patient"" OR ""standardised patient"" OR OSCE OR ""role play"" OR ""serious game"" OR debriefing OR ""virtual reality"" OR ""augmented reality"") AND (education OR training OR learning OR teaching OR learner OR student OR trainee OR assessment OR curriculum) AND (medical OR health OR healthcare OR clinical OR nursing OR pharmacy OR dental OR surgery OR surgical OR resident OR physician OR clinician OR paramedic OR physiotherapy)",title_and_abstract.search,Server-side inclusive from_publication_date/to_publication_date filter using 2020-01-01 through 2026-08-13.,Server-side language:en filter; language is still retained in every raw record.,2026-08-14T16:49:48.843Z,2026-08-14T16:50:02.710Z,886,881,9,complete,3ab38ed09206aa315f85bfdf7510a2a39fe123ff3b1c7885a52dfcc5930778c6
pubmed,1,explicit_llm_four_concepts,"((""large language model""[Title/Abstract] OR ""small language model""[Title/Abstract] OR ""generative artificial intelligence""[Title/Abstract] OR ""generative AI""[Title/Abstract] OR GenAI[Title/Abstract] OR ChatGPT[Title/Abstract] OR ""GPT-4""[Title/Abstract] OR ""GPT-3.5""[Title/Abstract] OR ""GPT-4o""[Title/Abstract] OR ""OpenAI o1""[Title/Abstract] OR ""OpenAI o3""[Title/Abstract] OR ""retrieval augmented generation""[Title/Abstract]) AND (simulation[Title/Abstract] OR ""virtual patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract] OR ""standardised patient""[Title/Abstract] OR OSCE[Title/Abstract] OR ""role play""[Title/Abstract] OR ""serious game""[Title/Abstract] OR debriefing[Title/Abstract] OR ""virtual reality""[Title/Abstract] OR ""augmented reality""[Title/Abstract]) AND (education[Title/Abstract] OR training[Title/Abstract] OR learning[Title/Abstract] OR teaching[Title/Abstract] OR learner[Title/Abstract] OR student[Title/Abstract] OR trainee[Title/Abstract] OR assessment[Title/Abstract] OR curriculum[Title/Abstract]) AND (medical[Title/Abstract] OR health[Title/Abstract] OR healthcare[Title/Abstract] OR clinical[Title/Abstract] OR nursing[Title/Abstract] OR pharmacy[Title/Abstract] OR dental[Title/Abstract] OR surgery[Title/Abstract] OR surgical[Title/Abstract] OR resident[Title/Abstract] OR physician[Title/Abstract] OR clinician[Title/Abstract] OR paramedic[Title/Abstract] OR physiotherapy[Title/Abstract]))",,"Server-side inclusive Date - Publication range using 2020-01-01 through 2026-08-13; any query at or above the PubMed 10,000-result ceiling must be split before collection.",Server-side english[lang] restriction.,2026-08-14T16:50:02.732Z,2026-08-14T16:50:08.082Z,468,468,4,complete,3ff52e46e10ca810a192f00945b033be64604913bd6558b1886380702c320e67
pubmed,2,named_models_four_concepts,"((((Claude[Title/Abstract] AND (Anthropic[Title/Abstract] OR LLM[Title/Abstract] OR ""language model""[Title/Abstract])) OR (Gemini[Title/Abstract] AND (Google[Title/Abstract] OR LLM[Title/Abstract] OR ""language model""[Title/Abstract])) OR (Llama[Title/Abstract] AND (Meta[Title/Abstract] OR LLM[Title/Abstract] OR ""language model""[Title/Abstract])) OR Mistral[Title/Abstract] OR Mixtral[Title/Abstract] OR DeepSeek[Title/Abstract] OR Qwen[Title/Abstract] OR ""Med-PaLM""[Title/Abstract] OR BioGPT[Title/Abstract] OR MedGPT[Title/Abstract] OR Meditron[Title/Abstract] OR (Phi[Title/Abstract] AND ""language model""[Title/Abstract]) OR Vicuna[Title/Abstract] OR Alpaca[Title/Abstract] OR Grok[Title/Abstract] OR ""Command R""[Title/Abstract]) AND (simulation[Title/Abstract] OR ""virtual patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract] OR ""standardised patient""[Title/Abstract] OR OSCE[Title/Abstract] OR ""role play""[Title/Abstract] OR ""serious game""[Title/Abstract] OR debriefing[Title/Abstract] OR ""virtual reality""[Title/Abstract] OR ""augmented reality""[Title/Abstract]) AND (education[Title/Abstract] OR training[Title/Abstract] OR learning[Title/Abstract] OR teaching[Title/Abstract] OR learner[Title/Abstract] OR student[Title/Abstract] OR trainee[Title/Abstract] OR assessment[Title/Abstract] OR curriculum[Title/Abstract]) AND (medical[Title/Abstract] OR health[Title/Abstract] OR healthcare[Title/Abstract] OR clinical[Title/Abstract] OR nursing[Title/Abstract] OR pharmacy[Title/Abstract] OR dental[Title/Abstract] OR surgery[Title/Abstract] OR surgical[Title/Abstract] OR resident[Title/Abstract] OR physician[Title/Abstract] OR clinician[Title/Abstract] OR paramedic[Title/Abstract] OR physiotherapy[Title/Abstract])))",,"Server-side inclusive Date - Publication range using 2020-01-01 through 2026-08-13; any query at or above the PubMed 10,000-result ceiling must be split before collection.",Server-side english[lang] restriction.,2026-08-14T16:50:08.095Z,2026-08-14T16:50:10.577Z,89,89,2,complete,ff2c5c5a42cac145d9385c154a1bab9d1d1afe23d60c1434a70008f5b0d9a43f
pubmed,3,broad_sensitivity_four_concepts,"((""conversational AI""[Title/Abstract] OR ""conversational agent""[Title/Abstract] OR ""AI chatbot""[Title/Abstract] OR ""AI-powered chatbot""[Title/Abstract] OR ""AI-powered virtual patient""[Title/Abstract] OR ""natural language processing""[Title/Abstract] OR ""transformer model""[Title/Abstract] OR ""intelligent tutoring system""[Title/Abstract]) AND (simulation[Title/Abstract] OR ""virtual patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract] OR ""standardised patient""[Title/Abstract] OR OSCE[Title/Abstract] OR ""role play""[Title/Abstract] OR ""serious game""[Title/Abstract] OR debriefing[Title/Abstract] OR ""virtual reality""[Title/Abstract] OR ""augmented reality""[Title/Abstract]) AND (education[Title/Abstract] OR training[Title/Abstract] OR learning[Title/Abstract] OR teaching[Title/Abstract] OR learner[Title/Abstract] OR student[Title/Abstract] OR trainee[Title/Abstract] OR assessment[Title/Abstract] OR curriculum[Title/Abstract]) AND (medical[Title/Abstract] OR health[Title/Abstract] OR healthcare[Title/Abstract] OR clinical[Title/Abstract] OR nursing[Title/Abstract] OR pharmacy[Title/Abstract] OR dental[Title/Abstract] OR surgery[Title/Abstract] OR surgical[Title/Abstract] OR resident[Title/Abstract] OR physician[Title/Abstract] OR clinician[Title/Abstract] OR paramedic[Title/Abstract] OR physiotherapy[Title/Abstract]))",,"Server-side inclusive Date - Publication range using 2020-01-01 through 2026-08-13; any query at or above the PubMed 10,000-result ceiling must be split before collection.",Server-side english[lang] restriction.,2026-08-14T16:50:10.582Z,2026-08-14T16:50:12.411Z,165,165,2,complete,f8d0cb0ce595d7e6857f5dbf9d4c6bc3d42661de67d0b4e5abd0bec0a9ccf505
europepmc,1,explicit_llm_four_concepts,"(TITLE_ABS:""large language model"" OR TITLE_ABS:""small language model"" OR TITLE_ABS:""generative artificial intelligence"" OR TITLE_ABS:""generative AI"" OR TITLE_ABS:GenAI OR TITLE_ABS:ChatGPT OR TITLE_ABS:""GPT-4"" OR TITLE_ABS:""GPT-3.5"" OR TITLE_ABS:""GPT-4o"" OR TITLE_ABS:""OpenAI o1"" OR TITLE_ABS:""OpenAI o3"" OR TITLE_ABS:""retrieval augmented generation"") AND (TITLE_ABS:simulation OR TITLE_ABS:""virtual patient"" OR TITLE_ABS:""simulated patient"" OR TITLE_ABS:""standardized patient"" OR TITLE_ABS:""standardised patient"" OR TITLE_ABS:OSCE OR TITLE_ABS:""role play"" OR TITLE_ABS:""serious game"" OR TITLE_ABS:debriefing OR TITLE_ABS:""virtual reality"" OR TITLE_ABS:""augmented reality"") AND (TITLE_ABS:education OR TITLE_ABS:training OR TITLE_ABS:learning OR TITLE_ABS:teaching OR TITLE_ABS:learner OR TITLE_ABS:student OR TITLE_ABS:trainee OR TITLE_ABS:assessment OR TITLE_ABS:curriculum) AND (TITLE_ABS:medical OR TITLE_ABS:health OR TITLE_ABS:healthcare OR TITLE_ABS:clinical OR TITLE_ABS:nursing OR TITLE_ABS:pharmacy OR TITLE_ABS:dental OR TITLE_ABS:surgery OR TITLE_ABS:surgical OR TITLE_ABS:resident OR TITLE_ABS:physician OR TITLE_ABS:clinician OR TITLE_ABS:paramedic OR TITLE_ABS:physiotherapy)",,Server-side inclusive FIRST_PDATE range using 2020-01-01 through 2026-08-13.,Server-side LANG:eng restriction; Europe PMC notes that supplied abstracts may be English translations.,2026-08-14T16:50:12.416Z,2026-08-14T16:50:15.471Z,377,377,1,complete,214f45fbb7dcb442ab4f8a4fb528d4d0a9222b236b16f38efdd8ecd41fa6ad77
europepmc,2,named_models_four_concepts,"((TITLE_ABS:Claude AND (TITLE_ABS:Anthropic OR TITLE_ABS:LLM OR TITLE_ABS:""language model"")) OR (TITLE_ABS:Gemini AND (TITLE_ABS:Google OR TITLE_ABS:LLM OR TITLE_ABS:""language model"")) OR (TITLE_ABS:Llama AND (TITLE_ABS:Meta OR TITLE_ABS:LLM OR TITLE_ABS:""language model"")) OR TITLE_ABS:Mistral OR TITLE_ABS:Mixtral OR TITLE_ABS:DeepSeek OR TITLE_ABS:Qwen OR TITLE_ABS:""Med-PaLM"" OR TITLE_ABS:BioGPT OR TITLE_ABS:MedGPT OR TITLE_ABS:Meditron OR (TITLE_ABS:Phi AND TITLE_ABS:""language model"") OR TITLE_ABS:Vicuna OR TITLE_ABS:Alpaca OR TITLE_ABS:Grok OR TITLE_ABS:""Command R"") AND (TITLE_ABS:simulation OR TITLE_ABS:""virtual patient"" OR TITLE_ABS:""simulated patient"" OR TITLE_ABS:""standardized patient"" OR TITLE_ABS:""standardised patient"" OR TITLE_ABS:OSCE OR TITLE_ABS:""role play"" OR TITLE_ABS:""serious game"" OR TITLE_ABS:debriefing OR TITLE_ABS:""virtual reality"" OR TITLE_ABS:""augmented reality"") AND (TITLE_ABS:education OR TITLE_ABS:training OR TITLE_ABS:learning OR TITLE_ABS:teaching OR TITLE_ABS:learner OR TITLE_ABS:student OR TITLE_ABS:trainee OR TITLE_ABS:assessment OR TITLE_ABS:curriculum) AND (TITLE_ABS:medical OR TITLE_ABS:health OR TITLE_ABS:healthcare OR TITLE_ABS:clinical OR TITLE_ABS:nursing OR TITLE_ABS:pharmacy OR TITLE_ABS:dental OR TITLE_ABS:surgery OR TITLE_ABS:surgical OR TITLE_ABS:resident OR TITLE_ABS:physician OR TITLE_ABS:clinician OR TITLE_ABS:paramedic OR TITLE_ABS:physiotherapy)",,Server-side inclusive FIRST_PDATE range using 2020-01-01 through 2026-08-13.,Server-side LANG:eng restriction; Europe PMC notes that supplied abstracts may be English translations.,2026-08-14T16:50:15.475Z,2026-08-14T16:50:16.186Z,80,80,1,complete,63342763d7fa6a7f28e9a6a564e8b591bc221775ddfbb5f1f176e9d7d7b43738
europepmc,3,broad_sensitivity_four_concepts,"(TITLE_ABS:""conversational AI"" OR TITLE_ABS:""conversational agent"" OR TITLE_ABS:""AI chatbot"" OR TITLE_ABS:""AI-powered chatbot"" OR TITLE_ABS:""AI-powered virtual patient"" OR TITLE_ABS:""natural language processing"" OR TITLE_ABS:""transformer model"" OR TITLE_ABS:""intelligent tutoring system"") AND (TITLE_ABS:simulation OR TITLE_ABS:""virtual patient"" OR TITLE_ABS:""simulated patient"" OR TITLE_ABS:""standardized patient"" OR TITLE_ABS:""standardised patient"" OR TITLE_ABS:OSCE OR TITLE_ABS:""role play"" OR TITLE_ABS:""serious game"" OR TITLE_ABS:debriefing OR TITLE_ABS:""virtual reality"" OR TITLE_ABS:""augmented reality"") AND (TITLE_ABS:education OR TITLE_ABS:training OR TITLE_ABS:learning OR TITLE_ABS:teaching OR TITLE_ABS:learner OR TITLE_ABS:student OR TITLE_ABS:trainee OR TITLE_ABS:assessment OR TITLE_ABS:curriculum) AND (TITLE_ABS:medical OR TITLE_ABS:health OR TITLE_ABS:healthcare OR TITLE_ABS:clinical OR TITLE_ABS:nursing OR TITLE_ABS:pharmacy OR TITLE_ABS:dental OR TITLE_ABS:surgery OR TITLE_ABS:surgical OR TITLE_ABS:resident OR TITLE_ABS:physician OR TITLE_ABS:clinician OR TITLE_ABS:paramedic OR TITLE_ABS:physiotherapy)",,Server-side inclusive FIRST_PDATE range using 2020-01-01 through 2026-08-13.,Server-side LANG:eng restriction; Europe PMC notes that supplied abstracts may be English translations.,2026-08-14T16:50:16.190Z,2026-08-14T16:50:17.267Z,121,121,1,complete,376d7fa4125c37083368383a5395012d72f2862977e7f8b6bfa0aa522ca97f03
semantic_scholar,1,explicit_llm_four_concepts,"(""large language model"" | ""small language model"" | ""generative artificial intelligence"" | ""generative AI"" | GenAI | ChatGPT | ""GPT 4"" | ""GPT 3.5"" | ""GPT 4o"" | ""OpenAI o1"" | ""OpenAI o3"" | ""retrieval augmented generation"") + (simulation | ""virtual patient"" | ""simulated patient"" | ""standardized patient"" | ""standardised patient"" | OSCE | ""role play"" | ""serious game"" | debriefing | ""virtual reality"" | ""augmented reality"") + (education | training | learning | teaching | learner | student | trainee | assessment | curriculum) + (medical | health | healthcare | clinical | nursing | pharmacy | dental | surgery | surgical | resident | physician | clinician | paramedic | physiotherapy)",,Server-side inclusive publicationDateOrYear range using 2020-01-01 through 2026-08-13. Records without a specific publicationDate are treated by Semantic Scholar as 1 January of their year and require downstream cutoff resolution.,No language filter is exposed by the Academic Graph paper-search endpoints; downstream English-language eligibility is mandatory.,2026-08-14T16:50:17.271Z,2026-08-14T16:50:23.358Z,1294,1294,2,complete,58d81db789c5e8e0a643660388670f99b5372d102f0d687bc835a397ea16de49
