paper_id,title,year,journal,abstract,ai_decision,ai_confidence,ai_rationale,your_decision,your_confidence,your_rationale
f1f7b747acb5ee89,Generative AI Policy and Governance Considerations for Health Security in Southeast Asia,2024,arXiv (Cornell University),Southeast Asia is a geopolitically and socio-economically significant region with unique challenges and opportunities. Intensifying progress in generative AI against a backdrop of existing health security threats makes applications of AI to mitigate such threats attractive but also risky if done without due caution. This paper provides a brief sketch of some of the applications of AI for health security and the regional policy and governance landscape. I focus on policy and governance activities,exclude,high,LLM only - no medical or simulation context,,,
0370a9654f8756a5,Leveraging large language models for enhanced simulation-based learning in police and law enforcement,2025,Policing A Journal of Policy and Practice,"Abstract In this study, the application of Large Language Models (LLMs) in simulation-based training of law enforcement officers is being assessed. Adaptability, real-time response capabilities and dynamic and personalised learning experiences, which closely simulate real-life policing scenarios, are the hallmarks of LLMs. LLMs adjust scenarios according to trainee input to enhance learning engagement, facilitate better decision-making, and improve skill retention. Finally, the study shows how L",include,high,"All 4 categories present (LLM:2, Sim:3, NTS:1, Med:1)",,,
7f3d31569ff223aa,AlzheimerRAG: Multimodal Retrieval-Augmented Generation for Clinical Use Cases,2025,Machine Learning and Knowledge Extraction,"Recent advancements in generative AI have fostered the development of highly adept Large Language Models (LLMs) that integrate diverse data types to empower decision-making. Among these, multimodal retrieval-augmented generation (RAG) applications are promising because they combine the strengths of information retrieval and generative models, enhancing their utility across various domains, including clinical use cases. This paper introduces AlzheimerRAG, a multimodal RAG application for clinical",include,high,"All 4 categories present (LLM:3, Sim:1, NTS:2, Med:2)",,,
1273d5c84797d6f2,Digital health in dermatology,2023,JAAD International,"Digital health in dermatology is at a crossroads. For years, the promise of transformative change has been heralded, and for years a range of stakeholders—dermatologists, trainees, pharmaceutical and biotech companies, and the general public–have been awaiting with near-messianic fervor (and patience) the immanentization of the digital revolution. Yet, until recently, beyond subtle improvements in teledermatology, dermatology has been dermatology as usual. The warm-up phase has ended. With the r",include,low,AI screening disabled - included for manual review,,,
ff604b29af20e591,Into the uncanny valley: Simulation versus simulacrum?,2020,Medical Education,"Adding to the Cross‐cutting edge series, Johnston et al. introduce readers to the postmodern concept of the simulacrum and explore its relevance to the growing field of simulation education.",exclude,high,No LLM/AI keywords found,,,
56f46cbe2d525ebf,One size does not fit all: a support vector machine exploration of multiclass cognitive state classifications using physiological measures,2025,Frontiers in Neuroergonomics,"<h4>Introduction</h4>This study aims to develop and evaluate support vector machines (SVMs) learning models for predicting cognitive workload (CWL) based on physiological data. The objectives include creating robust binary classifiers, expanding these to multiclass models for nuanced CWL prediction, and exploring the benefits of individualized models for enhanced accuracy. Cognitive workload assessment is critical for operator performance and safety in high-demand domains like aviation. Traditio",exclude,high,No LLM/AI keywords found,,,
44fdf1229f595c0f,Unleashing the Power of the Right Brain.,2023,,"We envision a paradigm shift where our profession no longer follows but leads the charge to develop a whole mind approach in our pharmacists. Left brain skills remain critical but are no longer sufficient to combat the current threats of abundance, automation, and outsourcing within the pharmacy landscape. It is vital that pharmacists be skilled problem solvers and empathizers. We must capitalize on characteristics that make pharmacists essential while innovating new opportunities and jobs. We c",exclude,high,No LLM/AI keywords found,,,
f31f4b5b001eff63,"Residents, Faculty, and Artificial Intelligence: Brave New World or Utopia?",2023,Journal of Graduate Medical Education,"Since the late 2022 release of OpenAI’s ChatGPT, an open-source natural language processing tool that can generate human-like intellectual content and responses, journal editors, including those at the Journal of Graduate Medical Education (JGME), have intensified debates around fair, appropriate use of this technology for submitted manuscripts.1-4 We have recently expanded JGME’s overall policy of transparency to include artificial intelligence (AI): “Authors must communicate any use of artific",include,low,AI screening disabled - included for manual review,,,
6601c93761c53219,Repurposing major metabolites of lamiaceae family as potential inhibitors of &lt;i&gt;α&lt;/i&gt;-synuclein aggregation to alleviate neurodegenerative diseases: an &lt;i&gt;in silico&lt;/i&gt; approach.,2025,,"Neurodegenerative disorders (NDs) are typically characterized by progressive loss of neuronal function and the deposition of misfolded proteins in the brain and peripheral organs. They are molecularly classified based on the specific proteins involved, underscoring the critical role of protein-processing systems in their pathogenesis. Alpha-synuclein (α-syn) is a neural protein that is crucial in initiating and progressing various NDs by directly or indirectly regulating other ND-associated prot",exclude,high,No LLM/AI keywords found,,,
0894569296d7f32b,Subspace Rotation Algorithm for Training Restricted Hopfield Network,2024,2024 IEEE 36th International Conference on Tools with Artificial Intelligence (ICTAI),,exclude,high,No LLM/AI keywords found,,,
cb72f5994ca9f2ab,Performance of ChatGPT Across Different Versions in Medical Licensing Examinations Worldwide: Systematic Review and Meta-Analysis.,2024,,"<h4>Background</h4>Over the past 2 years, researchers have used various medical licensing examinations to test whether ChatGPT (OpenAI) possesses accurate medical knowledge. The performance of each version of ChatGPT on the medical licensing examination in multiple environments showed remarkable differences. At this stage, there is still a lack of a comprehensive understanding of the variability in ChatGPT's performance on different medical licensing examinations.<h4>Objective</h4>In this study,",include,low,AI screening disabled - included for manual review,,,
