paper_id,title,year,journal,abstract,your_decision,your_confidence,your_rationale
0894569296d7f32b,Subspace Rotation Algorithm for Training Restricted Hopfield Network,2024,2024 IEEE 36th International Conference on Tools with Artificial Intelligence (ICTAI),,,,
7b309a9dfb1ab2e9,Comparative Performance of Current Patient-Accessible Artificial Intelligence Large Language Models in the Preoperative Education of Patients in Facial Aesthetic Surgery.,2024,,"<h4>Background</h4>Artificial intelligence large language models (LLMs) represent promising resources for patient guidance and education in aesthetic surgery.<h4>Objectives</h4>The present study directly compares the performance of OpenAI's ChatGPT (San Francisco, CA) with Google's Bard (Mountain View, CA) in this patient-related clinical application.<h4>Methods</h4>Standardized questions were generated and posed to ChatGPT and Bard from the perspective of simulated patients interested in faceli",,,
b4481096a0c4c446,Strategic Complexity and Behavioral Distortion: Retail Investing Under Large Language Model Augmentation,2025,International Journal of Financial Studies,This conceptual article introduces Perceived Cognitive Assistance (PCA)—a novel psychological construct capturing how interactive support from Large Language Models (LLMs) alters investors’ perception of their cognitive capacity to execute complex trading strategies. PCA formalizes a behavioral shift: LLM-empowered retail investors may transition from intuitive heuristics to institutional-grade strategies—sometimes without adequate comprehension. This empowerment–distortion duality forms the the,,,
29ba73001b5909e0,Enhancing Human–Agent Interaction via Artificial Agents That Speculate About the Future,2025,Future Internet,"Human communication in daily life entails not only talking about what we are currently doing or will do, but also speculating about future possibilities that may (or may not) occur, i.e., “anticipatory speech”. Such conversations are central to social cooperation and social cohesion in humans. This suggests that such capabilities may also be critical for developing improved speech systems for artificial agents, e.g., human–agent interaction (HAI) and human–robot interaction (HRI). However, to do",,,
08985cf09d3a5f85,2024 IEEE International Conference on Artificial Intelligence and eXtended and Virtual Reality (AIxVR),2024,,,,,
8f2b4f59f786cff0,Model and Analysis of Economic- and Risk-Based Objective Optimization Problem for Plant Location within Industrial Estates Using Epsilon-Constraint Algorithms,2021,Computation,"In many countries, a number of industrial estates have been established to support the growth of the industrial sector, which is an essential strategy to drive economic growth. Planning for the location of industrial factories within an industrial estate, however, becomes complex, given the various types of industrial plants and the requirements of utilities to support operations within an industrial park. In this research, we model and analyze bi-objective optimization for locating plants withi",,,
8da6c7dd16c70b65,Социальный институт спорта как фактор трансформации личности,2024,Modern Humanities Success,"the article analyzes sport as a social institution and its place in the life of an individual. The Institute of sports is considered in its various aspects and in the performance of its various functions when influencing the personality. A modern interpretation of this concept is given. The emphasis is placed on the urgent problems of the social institute of sports, which plays an important role in the formation of a person's personality. The characteristics of the social functions of sport are ",,,
7f3d31569ff223aa,AlzheimerRAG: Multimodal Retrieval-Augmented Generation for Clinical Use Cases,2025,Machine Learning and Knowledge Extraction,"Recent advancements in generative AI have fostered the development of highly adept Large Language Models (LLMs) that integrate diverse data types to empower decision-making. Among these, multimodal retrieval-augmented generation (RAG) applications are promising because they combine the strengths of information retrieval and generative models, enhancing their utility across various domains, including clinical use cases. This paper introduces AlzheimerRAG, a multimodal RAG application for clinical",,,
272a5a7cce99734c,Artificial Intelligence for Predicting Patient Reported Outcome Measures (PROMs) Scores from Free Text: A Proof-of-Concept Study with the EuroQol-5D-3L and Transformer Models (Preprint),2026,,"BACKGROUND Patient-reported outcomes measures (PROMs) have become an important tool in measuring a patient’s health status from their own perspective; however, they are typically measured using standardized questionnaires which do not account for each patient's unique experience of health. Recent improvements in Natural Language Processing (NLP) provide new possibilities to extract PROM scores from unstructured or free-text patient narratives; however, the feasibility and minimal data requiremen",,,
cd536cca74babac8,Resource state adaptive collaboration mechanism based on resource modeling and multi-agent system,2025,Complex & Intelligent Systems,"Abstract The management of complex, dynamic, and cross-domain resources in cyber-physical-human systems (CPHS) faces significant challenges under spatiotemporal dynamics, particularly resource state conflicts caused by rapid environmental changes and interdependent resource interactions. To address these challenges, this study proposes an integrated framework combining resource modeling and resource state adaptive collaboration mechanism. First, a resource modeling framework for state coordinati",,,
ca3ab815ca73e7cc,Building and Repairing Trust in Chatbots: The Interplay Between Social Role and Performance During Interactions.,2026,,"Trust (or distrust) in artificial intelligence (AI) is a critical research topic, given AI's pervasive integration across societal domains. Despite its significance, scholarly attention to process-based learned trust in AI remains limited. To address this gap, this study designed a virtual non-fungible token (NFT) investment task, featuring seven rounds of risk decision-making scenarios, to simulate an investment/trust game to explore participants' multifaceted trust under the influence of diffe",,,
5879953473eaf7ec,A Comparative Analysis of Conventional and Chat-Generative Pre-trained Transformer-Assisted Teaching Methods in Undergraduate Dental Education,2024,Cureus,It has been concluded from the study that traditional teaching methods are more effective for learning than understanding ChatGPT.,,,
f1f7b747acb5ee89,Generative AI Policy and Governance Considerations for Health Security in Southeast Asia,2024,arXiv (Cornell University),Southeast Asia is a geopolitically and socio-economically significant region with unique challenges and opportunities. Intensifying progress in generative AI against a backdrop of existing health security threats makes applications of AI to mitigate such threats attractive but also risky if done without due caution. This paper provides a brief sketch of some of the applications of AI for health security and the regional policy and governance landscape. I focus on policy and governance activities,,,
90ddb66fbef9cd19,Ethical Challenges of Artificial Intelligence in Medicine and the Triple Semantic Dimensions of Algorithmic Opacity with Its Repercussions to Patient Consent and Medical Liability,2024,"Law, Governance and Technology Series","Abstract Artificial intelligence algorithms have the potential to diagnose some types of skin cancer or to identify specific heart-rhythm abnormalities as well as (or even better) than board-certified dermatologists and cardiologists. However, one of the biggest fears in the healthcare sector in the Era of AI in Medicine is the so-called black box medicine , given the obscurity in the way information is processed by algorithms. More broadly, it is observed that there are three different semantic",,,
84eecd6cc56da121,BrainLM: A foundation model for brain activity recordings,2023,,"A bstract We introduce the Brain Language Model (BrainLM), a foundation model for brain activity dynamics trained on 6,700 hours of fMRI recordings. Utilizing self-supervised masked-prediction training, BrainLM demonstrates proficiency in both fine-tuning and zero-shot inference tasks. Fine-tuning allows for the accurate prediction of clinical variables like age, anxiety, and PTSD as well as forecasting of future brain states. Critically, the model generalizes well to entirely new external cohor",,,
0f5fd89ddbe987d9,An Immersive Ceramic Display and Personalized Decoration Method Based on WebVR,2024,"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",,,,
cb1d7abca07f44d0,Important concepts to virtual reality,2025,,"The term ""virtual reality"" (VR) refers to the interaction of a human being with a simulated world that has been produced via the deployment of computing technology, typically incorporating computer graphics and artificial intelligence. ""Virtual"" refers to anything that is imagined, whereas ""reality"" refers to something that is true. Within virtual reality, it is possible for a human to physically handle virtual things or animated objects. Many fascinating applications, such as, make advantage of",,,
4d7df37f0900a7b3,Impact of Generative AI on Metaverse-Enabled Healthcare Industries,2024,Advances in Medical Technologies and Clinical Practice,"The integration of generative artificial intelligence (AI) into metaverse-enabled healthcare industries is catalyzing a profound transformation in the way healthcare is delivered, experienced, and optimized. This chapter explores the multifaceted impact of generative AI within the immersive and interconnected realm of the Metaverse on healthcare systems, services, and patient outcomes. Generative AI, driven by powerful deep learning algorithms and neural networks, is revolutionizing medical data",,,
0156748e5d2d9603,LLM-Based Clinical History Taking System: A Persona-Driven Approach.,2025,,"Standardized patients (SPs) are vital for clinical training but resource-intensive. We developed a systematic approach for generating SP cases using GPT-4o and validated 12 cases across three chief complaints. Expert validation showed good clinical authenticity (information flow: 3.7±0.5, realism: 3.4±0.8) and accuracy (3.4±0.5). Medical students (n=15) rated virtual patient interactions positively (appropriateness: 7.9/10, accuracy: 7.5/10). Results suggest LLM-generated SP cases offer viable e",,,
266cbccc3c768edf,Unlocking the potential of past research: using generative AI to reconstruct healthcare simulation models,2025,Journal of the Operational Research Society,,,,
2b04f5350f8a3439,Effect of multimodal comprehensive communication skills training with video analysis by artificial intelligence for physicians on acute geriatric care: a mixed-methods study.,2023,,"<h4>Objectives</h4>To quantitatively analyse by artificial intelligence (AI) the communication skills of physicians in an acute care hospital for geriatric care following a multimodal comprehensive care communication skills training programme and to qualitatively explore the educational benefits of this training programme.<h4>Design</h4>A convergent mixed-methods study, including an intervention trial with a quasi-experimental design, was conducted to quantitatively analyse the communication ski",,,
c716abdf7c0ae3b8,Calibration of AI large language models with human subject matter experts for grading of clinical short-answer responses in dental education.,2026,,,,,
66a642f575c60c1d,Artificial intelligence vs. physicians: Quality of oncology patient education materials.,2024,JCO Oncology Practice,"408 Background: ChatGPT, a large language model (LLM) chatbot, emerged as a significant source of information for patients and providers. As artificial intelligence (AI) continues to evolve, its integration into educational content creation offers promising enhancements in the delivery of medical information. This study compares the effectiveness and readability of AI-generated and physician-generated educational materials in oncology, focusing on various symptoms and side effects of treatment. ",,,
958e6515b25dd99b,Harnessing the Potential of the Metaverse and Artificial Intelligence for the Internet of City Things: Cost-Effective XReality and Synergistic AIoT Technologies,2023,Smart Cities,"The Metaverse represents an always-on 3D network of virtual spaces, designed to facilitate social interaction, learning, collaboration, and a wide range of activities. This emerging computing platform originates from the dynamic convergence of Extended Reality (XR), Artificial Intelligence of Things (AIoT), and platform-mediated everyday life experiences in smart cities. However, the research community faces a pressing challenge in addressing the limitations posed by the resource constraints ass",,,
1a4a02ab66a3a681,Molecular Basis for Catalysis and Regulation of the Strigolactone Catabolic Enzyme CXE15.,2025,,"Strigolactones (SLs) are pivotal plant hormones involved in developmental, physiological, and adaptive processes. SLs also facilitate symbiosis with arbuscular mycorrhizal fungi and trigger germination of root parasitic Striga plants. The carboxylesterase CXE15, recently identified as the SL catabolic enzyme in Arabidopsis thaliana, plays a crucial role in regulating SL levels. Our study elucidates the structural and regulatory mechanisms of CXE15. We present four crystal structures capturing th",,,
