task_id,phase,stage,task_name,task_instructions,input_files,output_files,dependencies,estimated_minutes,status,assigned_agent,completion_notes
1,1_setup,1.1,Create project folder structure,"Create all directories: 01_collection/{checkpoints,raw}, 02_processing/{merged,screened,irr_samples}, 03_analysis/{figures,tables}, 04_manuscript/output, 05_validation/irr_results, logs/. Verify structure with ls -R.",none,Bibliometric_v2/ directory tree,none,2,completed,,Folder structure created
2,1_setup,1.2,Create config.yaml,"Create the master configuration file with all search terms, date ranges (2020-2026), source configs (7 sources with query strategies), processing settings, and pipeline settings. See plan for full schema.",none,config.yaml,none,10,completed,,Config created with 7 sources and multi-query strategies
3,1_setup,1.3,Create .env file with API keys,"Create .env with CORE_API_KEY, SEMANTIC_SCHOLAR_API_KEY (pending), API_CONTACT_EMAIL. Ensure .gitignore includes .env.",none,.env and .gitignore,none,2,completed,,CORE key saved; S2 pending
4,1_setup,1.4,Create requirements.txt,"List all Python dependencies: requests, pyyaml, python-dotenv, rapidfuzz, pandas, numpy, matplotlib, seaborn, networkx, wordcloud, scipy, python-docx, tqdm, lxml.",none,requirements.txt,none,2,completed,,Created
5,1_setup,1.5,Install Python dependencies,"Run pip install -r requirements.txt. Verify all packages install correctly. Test imports.",requirements.txt,installed packages,4,3,completed,,All packages installed successfully
6,1_setup,1.6,Create collector_base.py,"Build the abstract base class with: checkpointing (save/load/clear), retry with exponential backoff, rate limiting, batch saving, dedup-aware saving, progress logging. All collectors inherit from this.",config.yaml,01_collection/collector_base.py,2,20,completed,,Base class with all features written
7,1_setup,1.7,Create OpenAlex collector,"Implement OpenAlexCollector inheriting CollectorBase. Handle: cursor pagination, inverted index abstract reconstruction, 200 results/page, 7 query strategies from config.",collector_base.py,01_collection/openalex_collector.py,6,15,completed,,Written and smoke tested - 72533 results available
8,1_setup,1.8,Create PubMed collector,"Implement PubMedCollector. CRITICAL FIX: use 6 relaxed query strategies instead of one strict AND-all-4. Parse XML with ElementTree. Two-stage: esearch PMIDs then efetch details in batches of 100.",collector_base.py,01_collection/pubmed_collector.py,6,20,completed,,Written with 6 query strategies including MeSH
9,1_setup,1.9,Create Europe PMC collector,"Implement EuropePMCCollector. Cursor-based pagination, 3 query strategies, date filter in query, core result type.",collector_base.py,01_collection/europepmc_collector.py,6,15,completed,,Written
10,1_setup,1.10,Create Crossref collector,"Implement CrossrefCollector. Offset pagination (max 10000), 4 query strategies, JATS XML abstract cleaning, polite headers.",collector_base.py,01_collection/crossref_collector.py,6,15,completed,,Written
11,1_setup,1.11,Create Semantic Scholar collector,"Implement SemanticScholarCollector. 10 query strategies, handle 429 rate limits, optional API key from .env for faster access.",collector_base.py,01_collection/semantic_scholar_collector.py,6,15,completed,,Written; using unauthenticated rate
12,1_setup,1.12,Create CORE collector,"Implement CORECollector. Requires API key from .env. Bearer auth header, 3 query strategies, post-hoc year filtering.",collector_base.py,01_collection/core_collector.py,6,15,completed,,Written and API tested - 92455 hits
13,1_setup,1.13,Create DOAJ collector,"Implement DOAJCollector. Path-based search URL, 2 query strategies, page-based pagination, bibjson record format.",collector_base.py,01_collection/doaj_collector.py,6,10,completed,,Written
14,1_setup,1.14,Create collection_manager.py,"Build orchestrator that runs all 7 collectors sequentially with error handling. Support --loop mode (interval + max-days), --source for single source, logging to file + stdout.",all collector scripts,01_collection/collection_manager.py,7;8;9;10;11;12;13,15,completed,,Written with loop mode and CLI args
15,1_setup,1.15,Create normalizer.py,"Build RecordNormalizer: load all raw JSONL, normalize DOIs (strip prefixes lowercase), normalize titles, normalize author names, generate deterministic IDs, output JSON + CSV + report.",config.yaml,02_processing/normalizer.py,6,15,completed,,Written
16,1_setup,1.16,Create deduplicator.py,"Build Deduplicator with 3-tier matching: DOI exact, fuzzy title (rapidfuzz >=90%), author+year+title fragment. Source priority for keeping. Merge best fields from duplicates. Output JSON + CSV + report.",config.yaml; normalizer output,02_processing/deduplicator.py,15,20,completed,,Written with all 3 tiers
17,1_setup,1.17,Create screener.py,"Build PaperScreener with two-stage screening. Stage 1: keyword pre-filter with false positive detection. Stage 2: Claude API for uncertain papers. Three-tier scope classification. Output JSON + report.",config.yaml; dedup output,02_processing/screener.py,16,25,completed,,Written with AI screening support
18,2_collection,2.1,Run OpenAlex collection - all 7 query strategies,"cd 01_collection && python collection_manager.py --source openalex. Expected: 5000-10000 records across 7 strategies. Monitor for errors. Verify raw/*.jsonl files created with data.",openalex_collector.py; config.yaml,01_collection/raw/openalex_*.jsonl,7,30,pending,,
19,2_collection,2.2,Run PubMed collection - all 6 query strategies,"cd 01_collection && python collection_manager.py --source pubmed. Expected: 200-800 records (MUCH more than v1's 26). Verify XML parsing works. Check for NCBI rate limiting.",pubmed_collector.py; config.yaml,01_collection/raw/pubmed_*.jsonl,8,20,pending,,
20,2_collection,2.3,Run Europe PMC collection - all 3 query strategies,"cd 01_collection && python collection_manager.py --source europepmc. Expected: 1500-2000 records. Check cursor pagination works to completion.",europepmc_collector.py; config.yaml,01_collection/raw/europepmc_*.jsonl,9,15,pending,,
21,2_collection,2.4,Run Crossref collection - all 4 query strategies,"cd 01_collection && python collection_manager.py --source crossref. Expected: 2000-5000 records. Watch for 10000 offset limit per query. Check abstract extraction.",crossref_collector.py; config.yaml,01_collection/raw/crossref_*.jsonl,10,20,pending,,
22,2_collection,2.5,Run Semantic Scholar collection - all 10 query strategies,"cd 01_collection && python collection_manager.py --source semantic_scholar. Expected: 500-1000 records. Watch for 429 rate limits. Use 3.5s delay.",semantic_scholar_collector.py; config.yaml,01_collection/raw/semantic_scholar_*.jsonl,11,25,pending,,
23,2_collection,2.6,Run CORE collection - all 3 query strategies,"cd 01_collection && python collection_manager.py --source core. Expected: 500-2000 records. Verify API key auth works. Post-hoc year filtering.",core_collector.py; config.yaml; .env,01_collection/raw/core_*.jsonl,12,15,pending,,
24,2_collection,2.7,Run DOAJ collection - all 2 query strategies,"cd 01_collection && python collection_manager.py --source doaj. Expected: 200-500 records. Smaller source but good OA complement.",doaj_collector.py; config.yaml,01_collection/raw/doaj_*.jsonl,13,10,pending,,
25,2_collection,2.8,Verify collection outputs,"Count records per source: wc -l raw/*.jsonl. Compare against expected ranges. Flag any source that returned 0 or unexpectedly few records. Check for malformed JSON lines.",01_collection/raw/*.jsonl,Collection verification report in logs/,18;19;20;21;22;23;24,5,pending,,
26,2_collection,2.9,Run collection cycle 2 (catch newly indexed papers),"Wait 24h then re-run collection_manager.py (full cycle). Checkpointing means it will skip already-collected records and only grab new ones. Compare counts.",all collectors,updated raw/*.jsonl files,25,60,pending,,
27,3_processing,3.1,Run normalizer on all raw data,"cd 02_processing && python normalizer.py. Load all JSONL from raw/, normalize all fields, generate IDs, save to merged/normalized_TIMESTAMP.json + .csv + report.",01_collection/raw/*.jsonl,02_processing/merged/normalized_*.json,25,10,pending,,
28,3_processing,3.2,Run deduplicator on normalized data,"cd 02_processing && python deduplicator.py merged/normalized_XXXXXXXX.json. Expected dedup rate: 5-15%. Check report for DOI vs title vs author-year match counts.",02_processing/merged/normalized_*.json,02_processing/merged/deduplicated_*.json,27,10,pending,,
29,3_processing,3.3,Run screener on deduplicated data,"cd 02_processing && python screener.py merged/deduplicated_XXXXXXXX.json. Two-stage screening. Check tier distribution. Expected: 500-2000 Tier 1, 200-800 Tier 2, 50-300 Tier 3.",02_processing/merged/deduplicated_*.json,02_processing/screened/screened_included_*.json,28,30,pending,,
30,3_processing,3.4,Spot-check 20 included and 20 excluded papers,"Randomly sample 20 included and 20 excluded papers. Read title+abstract of each. Verify screening decisions are correct. Document any errors and adjust screener if needed.",02_processing/screened/*.json,Spot-check report in logs/,29,15,pending,,
31,3_processing,3.5,Generate inter-rater reliability samples,"Create irr_sampler.py. Generate 3 stratified random samples (100 papers each) with 50-paper overlap. Export as CSV for Matt and 2 colleagues to review. Include AI decision for comparison.",02_processing/screened/screened_included_*.json,02_processing/irr_samples/*.csv,29,15,pending,,
32,3_processing,3.6,Create analysis-ready dataset,"From screened included papers, create final analysis dataset: analysis_dataset.csv and .json. Include all metadata. Separate files for Tier 1, Tier 2, Tier 3 subsets.",02_processing/screened/screened_included_*.json,03_analysis/analysis_dataset.csv; tier subsets,29,10,pending,,
33,3_processing,3.7,Enrich dataset with additional metadata,"For papers with DOIs, query OpenAlex/Crossref for: country of corresponding author, institutional affiliations, funding info, reference lists. Rate-limited enrichment.",03_analysis/analysis_dataset.csv,03_analysis/enriched_dataset.csv,32,30,pending,,
34,4_analysis,4.1,Create descriptive_stats.py and run,"Compute: total papers, year distribution, source database distribution, document type distribution, language distribution, open access %, data completeness metrics. Output tables + summary.",03_analysis/enriched_dataset.csv,03_analysis/tables/descriptive_stats.md; figures/,32,15,pending,,
35,4_analysis,4.2,Create publication_trends.py and run,"Generate: publication count by year (bar chart), cumulative publication curve, growth rate calculation (CAGR), comparison pre/post ChatGPT (Nov 2022). Separate charts for Tier 1/2/3.",03_analysis/enriched_dataset.csv,03_analysis/figures/publication_trends.png; tables/,34,15,pending,,
36,4_analysis,4.3,Create citation_analysis.py and run,"Compute: total citations, mean/median/max citations, h-index, g-index, i10-index, citation distribution histogram, most-cited papers table (top 20), citation trends by year.",03_analysis/enriched_dataset.csv,03_analysis/figures/citation_*.png; tables/citation_stats.md,34,15,pending,,
37,4_analysis,4.4,Create author_analysis.py and run,"Compute: total unique authors, most prolific authors (top 20), Lotka's law test, single-paper vs multi-paper authors, collaboration index (avg authors per paper), author productivity distribution.",03_analysis/enriched_dataset.csv,03_analysis/figures/author_*.png; tables/,34,15,pending,,
38,4_analysis,4.5,Create journal_analysis.py and run,"Compute: papers per journal, Bradford's law zones (core/middle/peripheral), top 20 journals table, journal impact comparison (via citation counts), publication type distribution.",03_analysis/enriched_dataset.csv,03_analysis/figures/journal_*.png; tables/,34,15,pending,,
39,4_analysis,4.6,Create geographic_analysis.py and run,"Extract countries from author affiliations. Compute: papers per country, international collaboration %, top 20 countries, regional distribution (continent-level). Generate world map or bar chart.",03_analysis/enriched_dataset.csv,03_analysis/figures/geographic_*.png; tables/,33,20,pending,,
